R,V,E
1,6,2.5153145464443503
2,26,-1.877483628445198
3,98,3.9134927539974598
4,218,-5.019869027561583
5,410,-25.58568169445624
6,770,17.307942031979678
7,1178,-17.247110569587903
8,1754,-30.158952220492665
9,2546,5.664304357931542
10,3458,-26.68545355564993
11,4610,-28.11633868257013
12,5930,-91.53646374416257
13,7562,-93.85394146176259
14,9602,40.023115443296774
15,11786,25.186594249682457
16,14234,-39.27161776394132
17,17042,-78.25963331890671
18,20282,-40.685565136547666
19,23738,-163.45752593820362
20,27818,-59.48362844519943
21,32306,34.328014621125476
22,36986,-118.93070946056105
23,42314,-84.16791341159114
24,48170,-2.2917099533005967
25,54218,-230.21021180703247
26,61130,-116.8315316941007
27,68498,-91.06378233585565
28,76490,-5.815076453625807
29,84626,-361.9935267687397
30,94034,-52.50724600254034
31,103562,-250.26434687635629
32,114170,-16.172942111530574
33,125186,-43.141144429391716
34,136970,7.922933448746335
35,149306,-99.88882119848859
36,162554,-27.48452109238133
37,176210,-299.77227895433316
38,191114,-97.66020750562893
39,206762,53.9435805324174
40,222962,-57.86902756159543
41,239690,-478.0061445089523
42,257762,-411.3758830309962
43,276674,-382.88635584909935
44,296714,-125.44567568448838
45,317618,76.03804474143544
46,339026,-159.34330729272915
47,361346,-444.4978445082088
48,385034,-344.3336796264048
49,409778,-191.75892536860192
50,435554,-31.68169445625972
51,462026,-221.0100996104884
52,489890,-84.65225355280563
53,518570,-219.51626900443807
54,548906,193.4897413131548
55,579410,-354.5423353211954
56,611786,-180.52061162900645
57,645194,-145.35320033144671
58,679394,-509.9482141499175
59,715178,-503.21376580582
60,752234,-458.05796802032273
61,790610,-347.38893351494335
62,830138,-360.1147750108503
63,871058,-277.1436052295612
64,913562,72.61646310775541
65,956330,-651.7426827204181
66,1002170,336.8708445648663
67,1047290,-774.4510677580256
68,1095242,-454.6165324100293
69,1144778,27.4663378871046
70,1195250,2.889430412091315
71,1246658,-549.255367556354
72,1299746,-905.8761687390506
73,1354490,-1111.8810858582146
74,1412282,203.82176836533472
75,1469906,-195.6757187899202
76,1529690,-3.281660045031458
77,1590482,-391.9041681215167
78,1653386,-278.4513557406608
79,1717538,-547.8313356239814
80,1783394,-764.9522204927634
81,1851338,-566.7221230682917
82,1920818,-526.0491560716182
83,1992170,-327.84143222426064
84,2065178,-209.00706424796954
85,2139170,-862.4541648635641
86,2216210,-245.09084679279476
87,2294474,-201.82522275624797
88,2374298,-417.565405475907
89,2455346,-1249.219507672824
90,2540258,-77.69564206851646
91,2625530,-427.9019213845022
92,2713178,-304.7464583418332
93,2803226,294.86263433797285
94,2894138,-185.9827560656704
95,2987330,-352.19074227521196
96,3082898,-128.6694370112382
97,3179378,-1000.3269529957324
98,3279242,-516.0714029488154
99,3381146,-40.8108995934017
100,3483986,-699.4535556500778
101,3588674,-1600.9074838398956
102,3697970,-6.080796883907169
103,3807290,-519.8816075050272
104,3919802,4.781971577554941
105,4033682,-276.99817235860974
106,4149914,-402.1301520355046
107,4267634,-1255.522080173716
108,4389266,-434.0820694947615
109,4511210,-1558.7182327192277
110,4638194,77.66131743043661
111,4764650,-1113.8515317672864
112,4895210,-522.1648930320516
113,5027162,-880.1868790863082
114,5162642,-72.82560265157372
115,5298674,-1096.989176449366
116,5439122,-109.5857131993398
117,5581058,-59.523325624875724
118,5725178,-271.71012644656
119,5871410,-839.0542283859104
120,6020810,-726.4637441625819
121,6172298,-1034.846786500886
122,6326498,-1161.1114681195468
123,6483818,-718.1659017419443
124,6643802,-182.91820008680224
125,6805274,-752.2764758784324
126,6971642,960.8511581635103
127,7136258,-1712.4434106834233
128,7306058,-1857.0682951379567
129,7480226,-309.93160792440176
130,7655738,-115.9414617633447
131,7832042,-1848.0059693744406
132,8013578,-1087.0332434810698
133,8197922,-277.93139680381864
134,8385194,678.3914579357952
135,8572082,-1550.9727919828147
136,8764274,-1298.9322592802346
137,8959226,-1130.3950566817075
138,9156890,-1114.2692969031632
139,9356522,-2015.4630926717073
140,9560258,-1718.8845567032695
141,9768194,-149.44180172123015
142,9976970,-688.0429404508322
143,10189178,-763.5960856061429
144,10405346,130.990650087595
145,10621874,-1625.190846092999
146,10845818,1002.9513131342828
147,11069594,410.5090150460601
148,11295530,-1095.4258530773222
149,11525714,-1447.7614039592445
150,11761298,484.5942496806383
151,11995970,-1631.2670048773289
152,12236042,-1504.2532803602517
153,12479498,-1171.2726894840598
154,12726986,-5.2333449721336365
155,12975026,-1507.0433595459908
156,13228562,-753.6108459252864
157,13484138,-1221.8439168334007
158,13742834,-1852.6506849918514
159,14006978,-338.93926312215626
160,14272322,-949.6177639421076
161,14541074,-1497.5943001750857
162,14814626,-611.7769845463336
163,15090506,-785.0739297680557
