R,V,E
1,10,4.923668512290394
2,210,47.557392393292616
3,1282,48.45144848656582
4,5682,483.8365565853637
5,16242,378.46410090748213
6,40642,1168.4463515701063
7,86322,1004.0966860646586
8,169522,3180.769810731639
9,301922,2169.7019822354778
10,512962,5328.851229039428
11,822722,5173.737572880345
12,1274642,11488.283250243403
13,1891602,6795.65293383738
14,2745602,15429.093954069074
15,3860562,5722.776520518586
16,5353842,30922.633943412453
17,7221602,13937.202855102718
18,9620082,28008.46343153529
19,12598642,29142.679613733664
20,16301522,57261.239329261705
21,20753762,21511.494713712484
22,26210802,49257.60233217105
23,32714322,41311.36340069026
24,40526162,105243.0640077889
25,49616402,42852.31533588469
26,60425042,111238.89388279617
27,72871202,31393.58168323338
28,87510802,145269.00653021038
29,104218082,96690.48219661415
30,123489762,134906.84865659475
31,145446482,115421.31230705976
32,170548402,214982.2861891985
33,198735682,71454.23020991683
34,230860562,215288.49136328697
35,266752562,134114.14395204186
36,307268082,321728.82980912924
37,352199842,186929.59851908684
38,402506002,282023.74763947725
39,458143442,135499.66292250156
40,520300322,483977.65853637457
41,588391122,266640.81728696823
42,663741122,309105.8308387995
43,746519682,256093.83993721008
44,837783122,613701.2746294737
45,936874082,148150.694486022
46,1046133282,596941.6288220882
47,1164557762,326481.4169201851
48,1294169682,700276.0482492447
49,1434367202,429201.0026886463
50,1587055682,702092.0907483101
51,1751866962,404416.293790102
52,1930969282,927582.6042494774
53,2123366802,467852.8658583164
54,2331803602,929732.6138634682
55,2555300642,462321.91525125504
56,2796923602,1226546.208966732
57,3054728082,339747.14613723755
58,3332836162,951633.4302916527
59,3629988882,796151.6575832367
60,3948916882,1561517.157011032
61,4288404002,953204.8306398392
62,4651769522,1175579.9938259125
63,5038256162,319289.21543216705
64,5452567602,1898171.1580543518
65,5890947602,927767.4182424545
66,6359013042,1757753.3667173386
67,6854603762,921168.9885997772
68,7382835922,2187169.723625183
69,7940383442,841857.3063688278
70,8533553762,1763430.6064653397
71,9160227202,1360936.4688339233
72,9824760002,2476700.5538921356
73,10524792242,1193638.1777877808
74,11266795442,2382245.152610779
75,12047168482,795908.6266212463
76,12874226482,3059177.924463272
77,13741838882,1305235.3873996735
78,14658082002,1827847.21352005
79,15622506242,2347954.297969818
80,16637741442,3618423.073163986
81,17701514002,1440556.3490257263
82,18822889122,2905724.1531829834
83,19997563602,1687554.5712089539
84,21234339762,4515244.586841583
85,22525683842,1731350.9221954346
86,23884395362,3960540.8779907227
87,25302589522,1091383.173778534
88,26793959922,4538458.788143158
89,28349555362,3018551.7989501953
90,29978863682,3633880.223552704
91,31680788722,2848446.8590049744
92,33462071282,4908390.122306824
93,35316880242,1432494.8906173706
94,37260292722,4891743.341445923
95,39282281282,2595905.7929153442
96,41397479842,6458851.54397583
97,43595126882,2941139.7145996094
98,45890360082,4344050.086036682
99,48277587122,2179773.9410095215
100,50770669282,7354404.903945923
101,53356673282,3919169.7812042236
102,56052068322,5266859.401283264
103,58852667442,4072579.455055237
104,61769400882,8066501.335983276
105,64789765282,1482452.9803466797
106,67939920882,7154509.7074661255
107,71202133282,3958145.0598602295
108,74596367842,8404021.643630981
109,78110485842,4833541.968460083
110,81762285602,7459359.288040161
111,85542657042,3519328.4401397705
112,89471210642,8904856.686935425
113,93533056242,4939094.555160522
114,97748928482,8501766.676391602
115,102107281762,4123522.627182007
116,106631763682,11458767.769332886
117,111299653442,3723454.0901641846
118,116141859442,7692071.042663574
119,121145859682,6637436.38571167
120,126326779922,11408247.024353027
121,131674829202,7863989.849945068
122,137207702402,9276892.580474854
123,142916967442,2718514.600708008
124,148832807602,13801457.8024292
125,154923974002,6631237.424621582
126,161224736562,10756632.893829346
127,167719393602,5678678.66418457
128,174436024082,14602295.057739258
129,181347467842,5415919.104736328
130,188493333362,12698655.383758545
131,195851913362,9635266.861846924
132,203446030802,13861565.734954834
133,211262137282,6562204.268035889
134,219332026642,14183665.635192871
135,227629171682,4770374.760101318
136,236199762722,19002649.15600586
137,244999661682,7150169.766143799
138,254077754162,12423451.80380249
139,263416570322,11594115.592651367
140,273036349762,19059157.40689087
141,282915503682,7302500.311584473
142,293098370002,14649505.002685547
143,303557542002,7595000.6474609375
144,314335506242,22440595.72454834
145,325389309602,9961108.864440918
146,336772183602,17028279.689208984
147,348452414642,5480399.653381348
148,360482209362,20987062.883544922
149,372818382562,13736477.019042969
150,385501488162,17565814.051879883
151,398519241602,13383001.166992188
152,411901905682,24551951.582824707
153,425610600402,5201795.390930176
154,439717483602,20406910.39678955
155,454171956642,12391992.959533691
156,469028989602,28856648.8326416
157,484237270162,11123664.003723145
158,499865799202,20733995.53503418
159,515876601922,12157282.403503418
160,532320368642,28432036.34124756
161,549150136482,14846712.675476074
162,566418995522,16645261.168823242
163,584116466642,15404356.85949707
164,602271888562,32419830.90185547
165,620831625442,5913661.406005859
166,639894892882,26859364.278686523
167,659390225122,15448584.063110352
168,679385315682,30931124.778930664
169,699835418402,20015380.763305664
170,720794139842,27660127.510253906
171,742230054002,13688632.511352539
172,764208256402,34342126.095703125
173,786665671362,17586472.270507812
174,809676168082,28227639.560913086
175,833197822962,15173411.850219727
176,857300645282,39158459.220581055
177,881905214482,11381008.79272461
178,907118561442,29383515.56640625
179,932877230802,20114373.260620117
180,959249476722,42123065.15368652
181,986173397842,23694514.923461914
182,1013723386722,29297917.48815918
183,1041861813442,11269729.845581055
184,1070675008322,45795781.91381836
185,1100057906882,17555627.372070312
186,1130131403122,37075214.49975586
187,1160822844722,21221477.017089844
188,1192214836642,42005324.92626953
189,1224235018882,16358795.350097656
190,1256985475122,35543083.373291016
191,1290408591442,31006652.8828125
192,1324559412802,46741107.40722656
193,1359387932002,21569540.957763672
194,1394993904962,43961208.8671875
195,1431284755842,9936038.6328125
196,1468406082722,53569700.75317383
197,1506219923442,25258839.571044922
198,1544850886402,37851264.11230469
199,1584249822562,30317338.92626953
200,1624484053682,57977614.92626953
201,1665469011042,24140940.229736328
202,1707330459922,42328330.998535156
203,1749991092322,22865082.278564453
204,1793559527682,61880878.84106445
205,1837917722242,28718546.021484375
206,1883207784322,52748720.56176758
207,1929325126722,16521641.447753906
208,1976423088242,60388060.751464844
209,2024366058642,35623594.47143555
210,2073267959122,42908593.37109375
211,2123098494722,38579933.8215332
212,2173909075442,60551528.638916016
213,2225620472882,15970357.926757812
214,2278400272402,58668019.915527344
215,2332106047682,32334681.80419922
216,2386886145282,71303030.5961914
217,2442608522562,29385583.944335938
218,2499431551602,50678000.990722656
219,2557265632082,31171353.20263672
220,2616233918722,79478955.21728516
221,2676198517202,43031675.6796875
222,2737306825362,54418528.084472656
223,2799492916242,32769101.614257812
224,2862876420562,82635431.9819336
225,2927281800322,13264992.269042969
226,2992968963442,69214723.76513672
227,3059740497122,37583786.813964844
228,3127767805362,74150471.64453125
229,3196940538882,52801509.21875
230,3267362354242,61290582.06982422
231,3338977070082,27393955.138183594
232,3411931502242,81744986.61865234
233,3486065679922,48049678.795410156
234,3561541253282,71493668.8852539
235,3638260857842,38106019.87548828
236,3716396078402,102722531.36523438
237,3795715422482,16958570.40673828
238,3876519842322,64730462.34277344
239,3958635403442,54923441.650390625
240,4042194776322,102882722.77929688
241,4127059709202,52885690.990234375
242,4213411284962,68398173.19824219
243,4301147321362,29474068.81298828
244,4390456160882,106544580.57519531
245,4481096302722,40049605.40234375
246,4573337913682,81948005.22265625
247,4667013653762,46542597.822265625
248,4762307930002,99733387.67773438
249,4859042833922,44954396.80371094
250,4957440894642,85926175.58789062
251,5057364352402,65928713.634765625
252,5158946115282,98757550.60253906
253,5262069818322,48782287.044921875
254,5366934877442,95999895.25390625
255,5473346726002,26270670.09375
256,5581605484802,119987619.84765625
257,5691413180802,59294577.05566406
258,5803023610482,77948949.3515625
259,5916344543602,63524870.310546875
260,6031506306002,125995390.28027344
261,6148319143042,55095307.22753906
262,6267051054482,98155437.57910156
263,6387521936402,54243927.05566406
264,6509966308402,136892841.5185547
265,6634112789842,53573797.806640625
266,6760288559442,110156954.57714844
267,6888236668402,28223523.14453125
268,7018298770482,127795238.32617188
269,7150163527522,75739269.27441406
270,7284083617122,102775290.32324219
271,7419958583762,86325991.82421875
272,7557910272322,125949990.9921875
273,7697770819442,31332582.73828125
274,7839881909522,121541130.51660156
275,7983934075442,64325177.16015625
276,8130240867842,150285115.7216797
277,8278513323202,67339660.31835938
278,8429066526322,107287716.96484375
279,8581712256242,58453694.42089844
280,8736710107042,156807695.0205078
281,8893761044402,79521465.52929688
282,9053169045682,106607867.97070312
283,9214783210002,63030350.466796875
284,9378850636562,171580658.0859375
285,9545009564882,46018463.677734375
286,9713731703522,133399478.71875
287,9884681896562,73741324.140625
288,10058173026882,154926201.18554688
289,10233951570242,98254362.23828125
290,10412279387282,140235501.66210938
291,10592962785922,61650546.6484375
292,10776340400962,175430648.0546875
293,10962040577442,84039931.24023438
294,11150430653602,128757846.90820312
295,11341316254722,88972401.94726562
296,11534948872562,189758990.2734375
297,11730966052322,42066743.6640625
298,11929876814562,128139842.609375
299,12131372209282,112070987.13476562
300,12335668456082,182940947.66015625
301,12542559351922,107225715.82617188
302,12752314114162,126638935.34375
303,12964777902642,58653372.83203125
304,13180280494082,205174708.65039062
305,13398365311122,81569967.75195312
306,13619540892322,168136910.50976562
307,13843464135762,93347023.57617188
308,14070498867762,192413630.69726562
309,14300280349842,71798243.578125
310,14533276102722,170033952.70507812
311,14769144908242,116726738.19921875
312,15008207289282,203034780.64453125
313,15250169521042,105679131.93554688
314,15495416444962,179757026.11914062
315,15743590881042,38153590.2265625
316,15995259468002,217381395.12109375
317,16249846422002,111338566.33398438
318,16507810559202,148330734.91210938
319,16768972229042,118003708.24609375
320,17033583425202,241453820.91992188
321,17301245895362,89337085.54882812
322,17572482623282,153350663.61523438
323,17846997118002,105521456.3203125
324,18125141532162,266323815.40234375
325,18406407706002,95722934.00390625
326,18691454325122,220331997.50390625
327,18979737633762,64124854.3359375
328,19271891645522,228646126.859375
329,19567377704562,142571802.17578125
330,19866588960962,166183982.9921875
331,20169414352882,155352438.4375
332,20476019954482,242881914.91796875
333,20786064703682,54239286.953125
334,21100227033842,234184628.01953125
335,21417860001362,101898201.375
336,21739614576482,274270650.92578125
337,22064902205762,128464872.046875
338,22394288230642,195333962.42578125
339,22727450077522,117610692.90625
340,23064814626402,287275538.328125
341,23405875318962,162664148.3671875
342,23751088587842,164896018.36328125
343,24100314298322,118315560.1875
344,24453838093842,272837013.0625
345,24811157246482,89794314.40234375
346,25172980482242,241765770.65625
347,25538729367362,113959768.15625
348,25909010658642,276564483.94921875
349,26283296019922,164463756.62890625
350,26662080328802,235543197.20703125
351,27045023346402,112359339.91015625
352,27432656099282,288520953.05859375
353,27824388287682,136096669.87890625
354,28220873457522,270786379.3671875
355,28621605008482,147928697.10546875
356,29027182964802,329271156.125
357,29436881013282,50007597.73046875
358,29851650534882,222809162.33984375
359,30270889306242,206525200.34375
360,30694963808082,328491062.91796875
361,31123499059522,174361812.88671875
362,31557039519922,249013455.55078125
363,31995154399522,81852969.5390625
364,32438541639042,330797297.62109375
365,32886394710082,149073137.58984375
366,33339509457362,292058573.05859375
367,33797309874562,143058304.3359375
368,34260474244802,339443519.2421875
369,34728303834322,141344963.9765625
370,35201564218002,272977853.90625
371,35679751979282,189341184.4765625
372,36163347050562,328557521.9921875
373,36651890928482,190087674.484375
374,37145966697442,314753602.546875
375,37644994762402,80470610.1875
376,38149938336482,407734335.640625
377,38659702010402,158189582.2265625
378,39175236059522,238936749.203125
379,39696142709362,208796742.5703125
380,40222801061682,403236445.9453125
381,40754593496802,160770431.3984375
382,41292354087602,271374350.25
383,41835583756002,191640803.9921875
384,42384784038162,378543935.03125
385,42939327466082,159820417.625
386,43500037430562,313831808.6484375
387,44066243570082,124952818.4609375
388,44638794527122,396327021.75
389,45216848158402,240076488.3984375
390,45801086222482,291988774.25
391,46391235684402,232820952.0234375
392,46987692328402,411911722.1015625
393,47589763946722,90369603.4296875
394,48198617381442,388114164.2734375
395,48813165291202,170642133.15625
396,49434474664162,457539749.59375
397,50061568780882,224445035.0390625
398,50695320988002,296820863.640625
399,51335242305682,137561793.125
400,51982087188802,452754655.640625
401,52634931368802,269519788.5546875
402,53294544884562,309041305.3515625
403,53960604889682,199373766.421875
404,54633695731202,475520289.953125
405,55312836809122,107291462.703125
406,55999366554562,383282890.9140625
407,56692257278882,225723711.09375
408,57392366493202,441795500.9140625
409,58098990185202,276908469.96875
410,58812837543922,389425650.6875
411,59533397520402,217222929.171875
412,60261416444962,455305715.9765625
413,60996014999922,172781057.0
414,61738255938002,380575424.328125
415,62487356859922,244211707.03125
416,63244136148402,529742602.046875
417,64007535046322,125828165.015625
418,64778950950482,377028961.0859375
419,65557446272642,292666495.7890625
420,66343716312162,514695245.875
421,67137052202482,280648530.1484375
422,67938322360002,405086780.2890625
423,68746809599522,116712371.71875
424,69563719514162,566748934.4453125
425,70387616629522,265094903.859375
426,71219750094802,406014031.65625
427,72059434829922,249281896.578125
428,72907423829042,492488815.296875
429,73762858199602,221078273.328125
430,74626802784802,443968795.734375
431,75498483974002,331363738.03125
432,76378588299282,513347237.078125
433,77266438984802,256432961.828125
434,78162983549842,451166544.21875
435,79067296045842,114362010.046875
436,79980803800002,615844769.703125
437,80901827115842,218151569.109375
438,81831896447282,393703960.484375
439,82770285040882,357449933.28125
440,83717557373202,615300664.953125
441,84672826018082,220997191.765625
442,85637399654082,424117239.75
443,86610427525282,314535415.421875
444,87592772827602,695808916.703125
445,88583153543122,226011243.71875
446,89583263256882,538548389.65625
447,90591664497842,135499191.609375
448,91609993146882,592022721.421875
449,92636769908562,367829436.46875
450,93673036879522,443748970.609375
451,94718374049522,338230564.875
452,95773377982322,586023338.484375
453,96837152891122,229251119.578125
454,97911010035202,516808476.046875
455,98993818226002,254866186.390625
456,100086901154482,704197990.625
457,101188775293202,318082061.03125
458,102300913955922,506359993.0
459,103422364965522,253104116.0
460,104554352709282,718672164.234375
461,105695440940322,402508107.5625
462,106846800530802,410894742.421875
463,108008059279762,306760922.53125
464,109179958598962,766366789.796875
465,110360904279042,130069325.1875
466,111553183839922,619672139.453125
467,112754983475282,355369344.15625
468,113967686775202,654467582.328125
469,115190254157682,410816939.40625
470,116423688027042,559968734.015625
471,117667230591042,276992028.90625
472,118922054448482,667060621.6875
473,120186791161282,294024515.734375
474,121462970961522,620116351.015625
475,122749366877762,350077114.859375
476,124047292276482,728696972.96875
477,125355255134482,195087060.0625
478,126675144823362,569463350.8125
479,128005594542242,415578770.75
480,129347748560722,807965546.9375
481,130700390042562,459758278.953125
482,132064797736882,579384529.6875
483,133440020158882,144744936.140625
