n,K,target,exact,monte_carlo,trials,rel_error,mc_seconds
20,2,2,0.182875,0.18323,400000,0.0019412166780587515,7.303144500008784
30,3,3,0.028041531815006897,0.028315,400000,0.00975225557566552,7.375425208010711
30,3,2,0.009965123514362467,0.01001,400000,0.004503354682242887,7.625050709000789
40,3,3,0.016061725953458797,0.0161925,400000,0.008141967240640176,7.995516625000164
40,3,2,0.005614084808248421,0.0053725,400000,0.04303191285843712,8.181610750034451
50,4,4,0.013787980815747482,0.01384,400000,0.003772792038781063,7.909237000043504
50,4,3,0.0007655730324617662,0.000715,400000,0.06605905683373436,7.888708707992919
64,5,5,0.0016295147915168786,0.0016575,400000,0.01717395179768236,7.920217458042316
