n,K0,peak_shell,peak_generic,ratio,log2_peak_shell,log2_peak_generic
40,4,1341,120584835,89921.57718120805,10.389093521904474,26.845473241411703
50,4,2613,8392664199,3211888.327210103,11.35149140932002,32.966481711916316
60,5,4510,572718915739,126988673.1128603,12.138911718142744,39.05903629728892
70,5,7158,38551718900020,5385822701.8748255,12.805340828416384,45.131860420349156
80,6,33408,2569110987653303,76901071230.0438,15.027905996569885,51.19019064047726
100,8,248990,11166969592259020800,44849068606205.15,17.925728276006815,63.27587153412605
128,10,2715117,1340855962072952730550272,4.938483174290289e+17,21.372582937402747,80.14942854514014
160,12,34481505,831477849629205106078691360768,2.411373429405721e+22,25.03931940872706,99.39159258270757
